Name,Latitude,Longitude,Status
BMM-CP-000504,51.507351,-0.127758,Occupied
Masterpark Trafalgar Square Car Park,51.507291,-0.128896,Occupied
Q-Park Trafalgar Car Park,51.507099,-0.130117,Occupied
Coutts Bank,51.50890313863235,-0.12553378823179173,Occupied
Q-Park Leicester Square Car Park,51.509162,-0.13065,Free
Westminster-Whitehall Place,51.506477,-0.12377,Free
Saint Martins Lane Hotel,51.510475,-0.126729,Free
Junc. Bedfordbury,51.510492,-0.125554,Free
Stirling Square,51.506042,-0.133653,Free
St James Square,51.507729,-0.13457,Occupied
St James's Square,51.50773,-0.13457,Occupied
Masterpark Chinatown Car Park,51.512046,-0.129753,Occupied
5 Upper St Martin's Lane,51.512373,-0.12711,Occupied
Q-Park Chinatown,51.512299,-0.129615,Free
Southampton Street,51.5109927464186,-0.122040510177612,Occupied
Q-Park Chinatown,51.512699,-0.130012,Occupied
33 King Charles Street,51.501845,-0.127892,Occupied
Q-Park Chinatown,51.512798,-0.130113,Occupied
NCP Brewer Street - Chargepost 1,51.511865,-0.134884,Occupied
Shell Recharge/Ubitricity,51.511428,-0.135708,Occupied
